nom,Énergie_kcal_100g,Lipides_g_100g,AG_saturés_g_100g,Acide_oléique_W9_g_100g,Acide_linoléique_W6_LA_g_100g,Acide_alpha-linolénique_W3_ALA_g_100g,EPA_g_100g,DHA_g_100g,Cholestérol_mg_100g,Glucides_g_100g,Sucres_g_100g,Fibres_g_100g,Protéines_g_100g,Sel_g_100g,Calcium_mg_100g,Cuivre_mg_100g,Fer_mg_100g,Iode_µg_100g,Magnésium_mg_100g,Manganèse_mg_100g,Phosphore_mg_100g,Potassium_mg_100g,Sélénium_µg_100g,Sodium_mg_100g,Zinc_mg_100g,Rétinol_µg_100g,Beta-Carotène_µg_100g,Vitamine_D_µg_100g,Vitamine_E_mg_100g,Vitamine_K1_µg_100g,Vitamine_K2_µg_100g,Vitamine_C_mg_100g,Vitamine_B1_mg_100g,Vitamine_B2_mg_100g,Vitamine_B3_mg_100g,Vitamine_B5_mg_100g,Vitamine_B6_mg_100g,Vitamine_B9_µg_100g,Vitamine_B12_µg_100g
"Agneau, selle, crue",236,"18,4","7,95","5,16","0,71","0,12",0,0,78,0,0,0,"17,5","0,14","12,8","0,13","1,16","0,7",19,"0,014",175,222,"5,73",55,"2,11",45,0,"0,4","0,44",0,0,0,"0,1","0,19","5,41","0,59","0,22","9,2","1,73"
"Agneau, selle, partie maigre, grillée/poêlée",153,"5,45","2,05","1,52","0,29","0,039",0,"0,0081",0,0,0,0,"26,1",0,0,0,"1,28",0,0,0,0,0,"10,3",0,"3,67",0,0,0,0,0,0,0,0,0,"6,67",0,"0,29",0,"1,53"
"Agneau, selle, partie maigre, rôtie/cuite au four",153,"5,45","2,01","1,49","0,28","0,039",0,"0,008",91,0,0,0,"26,1","0,16",18,"0,12","1,21",0,23,"0,02",180,246,"10,3",64,"3,67",0,0,"0,1","0,11","4,7",0,0,"0,1","0,24","6,67","0,83","0,27",19,"1,53"
"Agneau, viande, cuite (aliment moyen)",208,"10,6","3,66",0,0,0,0,"0,0058","92,8","0,011",0,0,"28,1",0,0,0,"1,74",0,0,0,0,0,"7,86",0,"4,94",0,0,0,"0,17",0,0,0,"0,083",0,"6,37","0,58","0,2",0,"2,27"
"Ail séché, poudre",344,"0,77","0,2","0,062","0,27","0,016",0,0,0,"62,8","2,43","9,45","16,7","0,11","79,5","0,53","4,2",0,"67,5","0,98",416,1150,0,43,"2,81",0,0,0,"0,67","0,4",0,"2,39","0,45","0,15","0,74","0,74","1,65",47,0
"Ail, cru",111,"0,5","0,01","0,01","0,01","0,01","0,01","0,01",0,"18,6","1,2","5,8","5,31","0,023",11,"0,19","0,63",20,20,"0,2",130,530,20,9,"0,75",0,5,"0,25","0,08","0,8",0,"0,5","0,2","0,01","0,1","0,36","1,1","26,1",0
"Ail, rôti/cuit au four",127,"0,5","0,01","0,01","0,01","0,01","0,01","0,01",0,"23,8","1,4","2,7","5,56","0,013",11,"0,18","0,64",20,21,"0,22",140,490,20,5,"0,73",0,5,"0,25","0,44","0,8",0,"0,5","0,16","0,043","0,1","0,34","1,37","37,4",0
"Ail, sauté/poêlé, sans matière grasse",130,"0,4","0,2","0,04","0,1","0,01","0,01","0,01",0,22,1,"5,8",6,"0,013",12,"0,17","0,77",20,22,"0,23",150,580,20,5,"0,96",0,"5,6",0,"0,39","0,8",0,"4,09","0,14","0,032","0,75","0,3","0,94","19,3",0
Alcool pur,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aligot (purée de pomme de terre à la tomme fraîche), préemballé",195,"13,3","8,25","2,67","0,21","0,11","0,01","0,01",0,"9,5","0,57","1,3","8,06",1,0,0,0,0,0,0,0,0,0,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
