nom,Énergie_kcal_100g,Lipides_g_100g,AG_saturés_g_100g,Acide_oléique_W9_g_100g,Acide_linoléique_W6_LA_g_100g,Acide_alpha-linolénique_W3_ALA_g_100g,EPA_g_100g,DHA_g_100g,Cholestérol_mg_100g,Glucides_g_100g,Sucres_g_100g,Fibres_g_100g,Protéines_g_100g,Sel_g_100g,Calcium_mg_100g,Cuivre_mg_100g,Fer_mg_100g,Iode_µg_100g,Magnésium_mg_100g,Manganèse_mg_100g,Phosphore_mg_100g,Potassium_mg_100g,Sélénium_µg_100g,Sodium_mg_100g,Zinc_mg_100g,Rétinol_µg_100g,Beta-Carotène_µg_100g,Vitamine_D_µg_100g,Vitamine_E_mg_100g,Vitamine_K1_µg_100g,Vitamine_K2_µg_100g,Vitamine_C_mg_100g,Vitamine_B1_mg_100g,Vitamine_B2_mg_100g,Vitamine_B3_mg_100g,Vitamine_B5_mg_100g,Vitamine_B6_mg_100g,Vitamine_B9_µg_100g,Vitamine_B12_µg_100g
"Salade feuille de chêne, crue","14,3","0,5","0,01","0,01","0,01","0,01","0,01","0,01",0,"1,03","0,6","1,8","1,13","0,023",33,"0,04","0,82",20,12,"0,19",20,280,20,9,"0,18",0,854,0,"0,08","34,8",0,"2,16","0,047","0,01","0,2","0,11","0,069","36,7",0
"Salade grecque, avec sauce, préemballée","77,5","7,1","2,7",0,0,0,0,0,0,"1,4","1,4",2,2,"1,04",0,0,0,0,0,0,0,0,0,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Salade ou chicorée frisée, crue","17,77","0,25","0,061","0,004","0,075","0,013",0,0,0,"2,4","0,7","2,45","1,48","0,084",76,"0,2","0,85","0,4","22,5","0,42","37,5",367,1,"33,5","0,61",0,3430,0,"2,26",298,0,"18,5","0,07","0,088","0,45","1,03","0,063",126,0
"Salade sucrine, crue","17,9","0,3","0,01","0,01","0,01","0,01","0,01","0,01",0,"2,58","1,78","0,8","1,13","0,013",23,"0,05","0,27",0,"9,6","0,12",30,230,20,5,"0,18",0,181,0,"0,11","9,88",0,"2,32","0,048","0,027","0,16","0,17","0,068","57,2",0
"Salade végétale à base de boulgour et/ou quinoa et légumes, préemballée",168,"8,3","0,92","3,71","2,79","0,25","0,01","0,01",0,"17,4","4,61","3,3","3,79","0,77",37,"0,16","1,2",20,46,"0,62",110,140,20,309,"0,77",0,611,"0,25","2,67",10,0,"0,5","0,071","0,01","0,18","0,27","0,059","22,1",0
"Salade verte, crue, sans assaisonnement","10,94","0,1","0,028","0,0022","0,021","0,016",0,0,"0,5","1,5","0,83","1,3","1,01","0,046","35,3","0,061","0,64",5,"15,3","0,22","23,5",260,"3,23","18,3","0,18",0,2000,"0,5","0,17",0,0,"1,95","0,041","0,04","0,14","0,16","0,052","55,3",0
Salami,451,"41,8","16,2","15,9","4,4","0,35","0,01","0,01","95,9","1,05","0,2",0,"17,7","4,05","7,2","0,07",1,20,15,"0,28",150,300,20,1620,"1,9",21,0,"0,68","1,26","0,8",9,"3,61","0,3","0,17","3,52","1,02","0,24","8,54","1,58"
Salami porc et boeuf,351,"28,8","10,4","11,4","3,11","0,15","0,004","0,007","98,5","1,56","0,61",0,"21,5","4,37","19,5","0,23","1,46",0,"19,5","0,96",192,340,0,1750,"2,8",11,0,"0,95","0,43","3,2",0,0,"0,38","0,28","6,08","1,11","0,45",3,"1,34"
Salami pur porc,400,"33,7","11,9",0,0,0,0,0,79,"1,6",0,0,"22,6","5,65",13,"0,16","1,3",0,22,"0,07",229,378,0,2260,"4,2",0,0,0,0,0,0,0,"0,93","0,33","5,6","1,06","0,55",2,"2,8"
Salami type danois,459,"42,9","15,4",0,0,0,0,0,75,"1,35","0,56",0,17,"4,13",0,0,0,0,0,0,0,0,0,1650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salers,388,"31,4",20,"6,8","0,48","0,18","0,01","0,01",103,0,"0,2",0,"25,9","2,19",680,"0,03","0,11",20,25,"0,02",480,96,20,875,"2,9",311,107,"0,31","0,72","2,03",0,"0,5","0,063","0,37","0,1","0,31","0,079","37,5","1,86"
"Salicorne (Salicornia sp.), fraîche","9,24","0,24",0,0,0,0,0,0,0,"1,1",0,"2,46","0,67","2,56","34,3","0,07","4,89",0,"75,3","0,7","19,5",119,0,1020,"0,48",0,0,0,"0,51",0,0,0,0,0,0,0,0,0,0
"Salsifis noir, ou scorsonère d'Espagne, cru","76,42","0,3","0,1",0,"0,024","0,036",0,0,0,"15,3",0,"3,3","3,13","0,011","24,1","0,12","0,7","0,2","32,1",0,94,387,0,"4,5",0,0,0,0,"0,8",0,0,3,"0,15","0,05","0,3",0,"0,07",0,0
"Salsifis, appertisé, égoutté","23,35","0,15","0,07",0,0,0,0,0,0,"4,25",1,"2,5","1,25","0,61",21,0,0,"0,2","8,9",0,0,173,"0,6",235,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0
"Salsifis, bouilli/cuit à l'eau","57,9","0,3","0,01","0,01","0,01","0,01","0,01","0,01",0,"9,29","2,3","4,5","2,63","0,02",38,"0,2","0,56",20,23,"0,21",88,170,20,8,"0,49",0,5,0,"1,9","0,8",0,"0,74","0,07","0,01","0,11","0,16","0,042","39,6",0
"Salsifis, cuit","61,65","0,17","0,041",0,0,0,0,0,0,"12,3","2,9","3,1","2,73","0,04",47,"0,07","0,55","0,2",18,"0,21",56,283,0,16,"0,3",0,0,0,"0,19","0,3",0,"4,6","0,056","0,17","0,39","0,28","0,22",15,0
"Salsifis, surgelé, cru","28,55","0,15",0,0,0,0,0,0,0,"4,15","2,5","5,8","2,65","0,043",0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Samossa ou Samoussa, préemballé, cuit",230,"13,7","2,78",0,0,"0,041",0,0,23,"16,5","2,45","1,8","9,33","1,26",31,"0,1","1,3",3,"17,8","0,4",95,182,"38,6",493,"0,87",2,34,"0,5","1,45",0,0,"0,7","0,068","0,12","1,5","0,22","0,13",20,"0,34"
"Sandre, cru","82,9","1,08","0,21","0,24","0,052","0,0092","0,069","0,18","70,3",0,0,0,"18,3","0,12",54,"0,014","0,3","21,5",29,"0,03",220,340,20,57,"0,4",0,0,"0,7","1,35","0,13","0,78",1,"0,16","0,25","2,31",0,0,0,0
Sandwich (aliment moyen),243,"8,35",0,0,0,0,0,0,0,"27,2",0,"1,4","14,2","1,24",97,0,"1,1",0,"16,9",0,0,184,0,493,"1,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sandwich baguette (aliment moyen),277,"11,6","4,45",0,0,0,0,0,0,"31,4","2,46","2,38","11,2","1,54",0,0,0,0,0,0,0,0,0,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sandwich baguette, camembert, beurre",339,"16,7","10,4",0,0,0,0,0,"45,1","34,3","2,18","1,92","11,9","1,72",137,"0,11","0,7","7,57","20,6","0,34",150,111,"4,02",670,"1,42",153,"68,6","0,21","0,52",0,0,0,"0,062","0,2","0,86","0,41","0,13","40,4","0,68"
"Sandwich baguette, crudités diverses, mayonnaise",221,"7,9","1,69",0,0,0,0,0,"37,6",30,"2,67","2,18","6,54","1,07","26,6","0,092","0,87","14,9","16,6","0,31","75,9",153,"6,77",426,"0,54","16,6",672,"0,17","2,88",0,0,"7,02","0,062","0,074","0,69","0,37","0,092","31,1","0,13"
"Sandwich baguette, dinde, crudités (tomate, salade), mayonnaise",255,"8,82","1,94",0,0,0,0,0,"28,5","30,6","2,24","1,86","12,4","1,1","23,3","0,096","0,99",13,"19,8","0,3",108,174,"12,9",446,"0,97","1,68",111,"0,05","3,14",0,0,"3,11","0,07","0,083","2,19","0,43","0,16","19,5","0,32"
"Sandwich baguette, jambon emmental, préemballé",285,"13,1","5,3","2,88","0,52","0,12",0,"0,01",0,"26,9","2,55",3,"13,3","1,58",0,0,0,0,0,0,0,0,0,635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sandwich baguette, jambon, beurre",285,"11,5","5,92","3,19","0,84","0,21",0,"0,01","38,8","33,7","2,34","3,17","9,93","1,69","54,6","0,11","0,95","5,63","34,7","0,55",152,171,"3,41",675,"1,22","71,4",20,"0,21","0,4",0,0,"3,09","0,31","0,1","2,21","0,32","0,17",17,"0,15"
"Sandwich baguette, jambon, emmental, beurre",286,"10,9","5,3","3,15","0,81","0,2",0,"0,01","50,6","32,7","2,87","4,17","12,2","1,54",188,"0,12","0,83","10,2","23,2","0,3",242,152,"5,03",614,"1,79",103,"31,7","0,36","0,42",0,0,"2,33","0,25","0,14","1,73","0,31","0,14","15,8","0,47"
"Sandwich baguette, jambon, oeuf dur, crudités (tomate, salade), beurre",222,"5,98","3,01",0,0,0,0,0,"44,1","30,9","2,55","1,88","10,1","1,45","24,6","0,093","0,97","7,66","19,2","0,3",108,186,"8,61",569,"0,84","42,9",179,"0,2","0,43",0,0,"5,77","0,2","0,11","1,49","0,39","0,13","22,8","0,16"
"Sandwich baguette, merguez, ketchup moutarde",282,"11,4","5,2",0,0,0,0,0,"28,5",31,"2,92","1,81","13,1","2,12","26,6","0,091","1,25","40,5","20,9","0,3",100,280,"6,68",851,"1,31","9,66",258,"0,084","0,82",0,0,"0,64","0,12","0,11","2,14","0,34","0,15","15,3","0,51"
"Sandwich baguette, oeuf, crudités (tomate, salade), mayonnaise",247,"9,47","2,18",0,0,0,0,0,"95,7","30,9","2,38","1,89","8,52","1,13","33,6","0,092","1,08","21,2","16,4","0,31",101,135,"8,6",457,"0,68","44,8",135,"0,43","2,99",0,0,"3,31","0,07","0,14","0,59","0,55","0,092",39,"0,3"
"Sandwich baguette, pâté, cornichons",298,"13,9","6,12",0,0,0,0,0,"49,5","32,1","2,44","1,99","10,1","1,8","26,2","0,26","2,49","5,59","18,1","0,36",119,143,"5,02",712,"1,17",1340,52,"0,25","0,36",0,0,"1,67","0,12","0,33","3,13","0,99","0,14","37,8",1
"Sandwich baguette, porc, crudités (tomate, salade), mayonnaise",267,"10,6","2,61",0,0,0,0,0,"29,5","30,1","2,3","1,86",12,"1,1","21,6","0,091","0,98","12,3","19,2","0,3",125,178,"10,4",449,1,"1,68",111,"0,05","3,14",0,0,"3,11","0,21","0,1","1,67","0,37","0,16","19,9","0,45"
"Sandwich baguette, poulet, crudités (tomate, salade), mayonnaise",247,"6,35","0,92","2,7","1,16","0,39",0,"0,01","23,3","36,3",3,"2,23",10,"1,39","27,4","0,14","1,04","12,7","20,2","0,35","96,7",167,"9,39",557,"0,71","1,85",111,"0,069","2,56",0,0,"3,61","0,07","0,066","1,85","0,41","0,15","20,4","0,08"
"Sandwich baguette, salami, beurre",379,"21,4","9,65",0,0,0,0,0,"43,8","33,2","2,01","1,82","12,5","2,76","25,3","0,1","1,41","5,08","17,5","0,36",133,160,"6,85",1070,"1,39","45,9",20,"0,34","0,31",0,0,0,"0,15","0,1","1,7","0,47","0,14","14,5","0,54"
"Sandwich baguette, saucisson, beurre",383,"21,6","9,43","6,67","1,93","0,26",0,"0,01","50,5",32,"2,36","3,05","13,7","2,07","29,1","0,12","1,09","5,13","22,2","0,36",129,224,"3,56",828,"1,34","70,9",20,"0,12","0,43",0,0,2,"0,32","0,12","2,77","0,42","0,24",18,"0,3"
"Sandwich baguette, saumon fumé, beurre",265,"5,6","2,49",0,0,0,"0,42","0,27","15,8","40,8","2,65","2,4","11,5","1,89","26,5","0,15","0,91","22,3","21,8","0,39",118,178,"11,2",742,"0,6","26,1","7,2","2,28","0,7",0,0,"2,84","0,1","0,062","2,39","0,38","0,23","21,3","0,9"
"Sandwich baguette, thon, crudités (tomate, salade), mayonnaise",274,"11,3","2,54",0,0,0,"0,0072","0,03","24,6",32,"1,4","1,78","10,3","1,28","26,8","0,079","0,83","15,1","19,5","0,31",90,160,"11,3",514,"0,53","49,1",132,"0,73","4,05",0,0,"2,63","0,051","0,055","2,73","0,28","0,13",19,"0,63"
"Sandwich baguette, thon, maïs, crudités, préemballé",198,"6,03","1,02","2,67","1,14","0,39",0,"0,03",0,25,"2,83","3,93","8,87","1,02",0,0,0,0,0,0,0,0,0,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sandwich grec ou Kebab, baguette, crudités",246,"9,8","4,26",0,0,0,0,0,32,"23,6","2,6",2,15,"1,13","22,1","0,1","2,1","4,87","22,4","0,3",117,263,10,469,"2,05",1,62,0,"0,2",0,0,2,"0,09","0,11","2,3","0,4","0,13",15,"0,88"
"Sandwich grec ou Kebab, pita, crudités",233,"10,9","3,57","3,04","0,66","0,066",0,0,"47,3","17,4","1,1","2,3","15,2","1,23","33,6","0,2","0,95",3,"21,5","0,2",0,316,0,492,"1,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sandwich pain de mie complet, jambon, crudités, fromage optionnel, préemballé",243,"11,6","2,86",0,0,0,0,0,0,"23,1","2,43","3,06",10,"1,42",0,0,0,0,0,0,0,0,0,557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sandwich pain de mie complet, jambon, fromage, préemballé",292,"14,6","6,45",0,0,0,0,0,0,"26,1","7,75",2,"12,9","1,33",205,0,0,0,0,0,0,0,0,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sandwich pain de mie complet, poulet, crudités, mayonnaise, préemballé",232,"10,4","2,48",0,0,0,0,0,0,"23,7","2,61","3,63","9,18","1,3",0,0,0,0,0,0,0,0,0,517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sandwich pain de mie complet, thon, crudités, mayonnaise, préemballé",240,"11,3","1,3",0,0,0,0,0,0,"23,1","2,49","3,46","9,82","1,08",0,0,0,0,0,0,0,0,0,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sandwich pain de mie, garnitures diverses, préemballé",267,"12,4","4,96","2,53","1,76","0,2",0,"0,01",0,"25,1","3,42","3,83","11,7","1,17",0,0,0,0,0,0,0,0,0,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sandwich panini, jambon cru, mozzarella, tomates",243,"8,35",0,0,0,0,0,0,0,"27,2",0,"1,4","14,2","1,24",97,0,"1,1",0,"16,9",0,0,184,0,493,"1,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sang, boeuf, cru","82,1","0,12","0,04",0,0,0,0,0,190,"0,8","0,8",0,"19,5","0,6",4,0,"46,5",0,0,0,"14,5",107,0,240,"0,2",5,93,"0,1","0,4",0,0,0,"0,055","0,065","0,85",0,0,7,0
"Sanglier, cru",147,"7,13","2,47","3,17","0,83","0,075",0,0,63,0,0,0,"20,7","0,2","9,65","0,1","1,23",1,21,"0,014",155,325,"6,9",80,"3,6",0,0,"0,12","0,1",0,0,0,"0,56","0,13","5,1","0,77","0,3",2,"0,7"
"Sanglier, rôti/cuit au four",153,"4,38","1,3",0,0,0,0,0,77,0,0,0,"28,3","0,15",16,"0,056","1,12",0,27,0,134,396,0,60,"3,01",0,0,0,"0,38","1,4",0,0,"0,31","0,14","4,21",0,"0,42",6,"0,7"
Sangria,"41,65","0,05",0,0,0,0,0,0,0,"10,3","9,5",0,0,"0,0075","9,35","0,056","0,37","0,91","10,7","0,19","12,6",123,"0,25",3,"0,07",0,54,0,"0,14",0,0,"12,1","0,023","0,022","0,18","0,11","0,055","9,11",0
"Sardine, à l'huile d'olive, appertisée, égouttée",202,"11,2","3,13","3,37","0,19","0,075","1,24","1,69","47,6","1,06",0,0,"24,3","0,73",798,"0,1","3,3",15,0,"0,16",530,357,11,291,"2,2",4,0,"10,8","1,9",0,0,0,"0,04","0,15","7,1","0,69","0,36",12,"13,7"
"Sardine, à l'huile, appertisée, égouttée",207,12,"2,56","3,27","0,9","0,18","0,67",1,"59,4","0,49",0,0,"24,4","0,75",333,"0,062","1,97","80,1","38,5","0,1",306,368,35,300,"1,89","4,7",0,"7,56","1,44",0,0,0,"0,04","0,16","7,1","0,68","0,28",16,"13,6"
"Sardine, crue",163,"9,48","2,4","0,019","0,1","0,47","1,09","1,58","78,9",0,0,0,"19,5","0,22","57,5","0,41","1,67","26,8",36,"0,33",286,584,"52,8",101,"1,5",28,0,14,"0,28",0,0,"2,5","0,038","0,23","7,56","0,81","0,47","3,18","8,6"
"Sardine, filets sans arêtes à l'huile d'olive, appertisés, égouttés",213,"13,9","3,16","1,82","0,21","0,088","0,68","1,02",0,"0,62",0,0,"21,5","0,7",108,"0,1","2,3",40,37,"0,1",262,357,46,282,2,"2,5",0,"7,4","2,1",0,0,0,"0,04","0,23","7,3","0,75","0,4",0,"13,6"
"Sardine, grillée",194,"10,4","2,9",0,0,0,0,0,0,0,0,0,"25,1","0,35",130,"0,14","1,7",32,34,"0,08",320,400,38,140,"1,4",0,0,"12,3","0,31",0,0,0,0,"0,25","6,9","0,88","0,41",4,12
"Sardine, sauce tomate, appertisée, égouttée",193,"11,6","3,04","2,05","1,19","0,16","1,31","1,25","80,8","1,38","0,7","1,05","20,2","0,7",378,"0,24","2,6","45,1","32,5","0,24",352,376,"37,7",280,"1,8",4,0,"12,5","2,3",0,0,0,"0,04","0,17","7,38","0,7","0,15",16,"9,88"
"Sarrasin entier, cru",356,"3,55","0,74","0,99","0,96","0,078",0,0,0,"64,6",0,7,"12,9","0,0025","16,3","1,1","2,2","2,5",231,"1,3",362,460,0,1,"2,4",0,0,0,0,0,0,0,"0,1","0,43","7,02","1,23","0,21",30,0
"Sarriette, séchée",264,"5,91","3,26",0,0,0,0,0,0,23,0,"45,7","6,73","0,06",2130,"0,85","37,9",0,377,"6,1",140,1050,0,24,"4,3",0,0,0,0,0,0,50,"0,37",0,"4,08",0,"1,81",0,0
Sauce (aliment moyen),"260,66","25,7","2,76","10,1","5,31","1,64","0,01","0,011","12,5","6,04","4,57","0,87","1,3","2,14","26,8","0,036","0,42","12,8","12,8","0,078","26,5",162,"14,7",853,"0,17","12,4",227,"0,87","7,26","21,4",0,"3,55","0,044","0,042","0,5","0,17","0,051","11,1","0,15"
"Sauce à l'échalote à la crème, préemballée","104,17","5,53","3,03",0,0,0,0,0,0,"11,9","2,27","0,9","1,7","1,61",0,0,0,0,0,0,0,0,0,647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sauce à l'oseille, préemballée",147,15,10,0,0,0,0,0,0,"1,7","1,7","3,2","1,3","0,63",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sauce à la crème,"77,87","5,55",3,0,0,0,0,0,"12,9","5,9","0,73","0,17","1,08","1,38","20,5","0,018","0,29","9,06","5,2","0,039","22,5","37,2","0,26",551,"0,12","27,6",12,"0,012","0,56",0,0,"0,042","0,011","0,07","0,25","0,052","0,016","4,6","0,036"
Sauce à la crème aux épices,"81,19","5,75","3,12",0,0,0,0,0,"13,3","6,2","0,95","0,65","1,16","1,29","26,6","0,027","0,71","10,8","8,1","0,17","25,6","56,5","0,37",517,"0,14","28,8","14,5","0,015","0,56",0,0,"0,5","0,013","0,071","0,29","0,05","0,025","4,8","0,035"
Sauce à la crème aux herbes,"75,77","5,49","2,94",0,0,0,0,0,"12,7","5,5","0,74","0,4","1,09","1,39",27,"0,026","0,59","11,1",6,"0,069","23,8","48,5","0,27",555,"0,14","26,7","79,5","0,01","0,58",0,0,"2,2","0,014","0,073","0,28","0,055","0,025","6,95","0,035"
"Sauce aigre douce, préemballée","84,4","0,2","0,063","0,005","0,005","0,01",0,"0,01",0,"20,1","15,9","0,97","0,55","1,01",13,"0,14","0,6","1,9",12,"0,12",15,48,"0,4",406,"0,11",0,0,0,"1,29",0,0,6,"0,03","0,03","0,53","0,11","0,07",11,0
"Sauce aïoli, préemballée","392,32",41,0,"15,9","7,27","2,46",0,"0,0041",0,"4,7","3,14","0,42","1,13","1,85",0,0,0,0,0,0,0,0,0,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sauce américaine, préemballée","419,8","41,8","3,7","8,22","10,6","1,38",0,"0,0055",0,"9,48","5,1","0,2","1,42","2,94",0,0,0,0,0,0,0,0,0,1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sauce armoricaine, préemballée","83,6","6,6","6,3","0,0071","0,0016","0,00077","0,000017","0,0001",0,"3,95","0,73",0,"2,1","1,3",0,0,0,0,0,0,0,"58,9",0,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sauce au beurre blanc, préemballée","210,72","21,4","11,9","5,17","1,96","0,2","0,01","0,01",0,"3,4","1,35","0,5","1,13","1,16",0,0,0,0,0,0,0,0,0,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sauce au beurre, préemballée","190,7","17,9","12,1","3,92","0,29","0,084",0,0,"51,4","5,2",1,1,"2,2","1,36","26,3","0,1","0,25",2,"4,3","0,1",24,"55,8",0,543,"0,1",117,0,"3,2","0,47",0,0,"0,5","0,073","0,04","0,16","0,16","0,044",22,"0,08"
"Sauce au chocolat, préemballée",277,"16,8","10,9",0,0,0,0,0,0,"26,2","24,1",3,"3,8","0,13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sauce au curry, préemballée","77,4","3,16","2,11",0,0,0,0,0,"7,5","10,6","5,83","1,28","1,02","1,12","22,4","0,2","0,5",10,"11,9","0,2","11,1",139,5,447,"0,2",10,0,"3,35","2,8",0,0,"1,05","0,08",0,"0,3","0,16","0,14","22,9","0,14"
"Sauce au fromage pour risotto ou pâtes, préemballée","115,17","9,53",7,0,0,0,0,0,0,"4,24","0,68","1,4","3,11","1,38",0,0,0,0,0,0,0,0,0,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sauce au poivre vert, préemballée","81,3","6,1","2,87","1,93","0,77","0,26","0,0002","0,00037",0,"5,3","1,3","1,3","1,3","1,15",0,0,0,0,0,0,0,0,0,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sauce au poivre, chaude, préemballée","156,4","14,8","1,91","7,47","2,98","1,01","0,01","0,01","19,5","4,8","1,76","1,13",1,"1,58",19,"0,02","0,43",20,"4,6","0,13",31,60,20,630,"0,16",21,5,"0,25","3,52","27,3",0,0,"0,31","0,039","0,16","0,2","0,013","11,3","0,074"
"Sauce au poivre, condimentaire, froide, préemballée","469,66","49,3","3,78","25,8","11,1","3,98","0,01","0,01",0,"5,8","5,19","0,5","0,69","2,31",0,0,0,0,0,0,0,0,0,924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sauce au roquefort, préemballée","127,1","10,9","7,18",0,"0,27","0,08",0,0,0,"4,4","1,1","0,6","2,85","1,25",0,0,0,0,0,0,0,0,0,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sauce au vin rouge,"51,22","2,22","1,32",0,0,0,0,0,"4,87",7,"2,47","0,46","0,81","1,7","13,1","0,12","0,56","9,27","9,99","0,11","19,3",90,"0,15",678,"0,11","14,1",134,"0,028","0,46",0,0,"2,5","0,022","0,073","0,54","0,088","0,048","9,62","0,024"
Sauce au yaourt,"96,91","6,91","1,46",0,0,0,0,0,"3,01","5,04","4,37","0,8","3,64","1,28",141,"0,047","0,78","14,3","21,3","0,13","92,5",230,"2,67",510,"0,5","7,61",0,"0,075","0,74",0,0,"8,02","0,049","0,18","0,26","0,35","0,1",20,"0,16"
"Sauce aux champignons et à la crème, préemballée","75,32",5,"2,51","1,71","0,33","0,05","0,01","0,01",0,"6,2","1,52","0,5","1,38","0,96",0,0,0,0,0,0,0,0,0,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sauce aux champignons, préemballée","94,34","6,26",0,0,0,0,0,0,"15,1","6,3","2,2","2,25","3,2","0,9","17,3","0,1","0,7",9,"6,8","0,1","38,4",90,0,360,"0,26",30,0,"0,94","0,59",0,0,"0,5","0,27","0,06","1,3","0,2","0,033",28,"0,08"
"Sauce barbecue, préemballée",136,"0,6","0,1","0,24","0,19","0,019","0,01","0,01",0,"30,3","27,5","1,2","0,56","1,77",46,"0,04","0,93",20,12,"0,16",15,220,20,706,"0,1",0,"87,1","0,25","1,17","1,62",0,"0,5","0,015","0,01","0,53","0,096","0,043","9,28",0
"Sauce basquaise ou Sauce aux poivrons, préemballée","63,1","2,71","0,49","0,74","1,36","0,0091",0,"0,01",0,"7,41","4,46","2,09","1,17","1,13",0,0,0,0,0,0,0,0,0,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sauce béarnaise, préemballée","450,9","47,7","3,55","26,9","8,89","3,7","0,01","0,01","48,9","4,52","2,3","0,48","0,88","1,95",15,"0,01","0,27",20,"2,5","0,04",23,39,20,778,"0,17",21,370,"0,25","10,9","89,4",0,"0,5","0,015","0,018","0,1","0,22","0,014","11,5","0,18"
"Sauce béchamel, maison","146,64","10,6","2,85",0,0,0,0,0,7,"8,97","4,38","0,2","3,84","0,89",118,"0,016","0,33",0,14,"0,043",98,156,0,354,"0,41",103,21,"1,2","0,29","0,9",0,"0,8","0,069","0,19","0,4","0,33","0,04",5,"0,28"
"Sauce béchamel, préemballée","101,64","7,4","4,61","1,47","0,46","0,03","0,01","0,01",30,"6,2","3,1","1,3","2,56","0,69","82,3","0,018","0,1",25,"7,52","0,016",33,126,"4,18",274,"0,27",64,20,"0,5","0,17",0,0,"0,5","0,04","0,12","0,27","0,27","0,045",16,"0,17"
"Sauce bourguignonne, préemballée","431,5","43,9","3,59","22,9","7,67","3,73","0,01","0,01",32,"7,85","5,23","0,52","1,25","2,71",15,"0,05","0,7",20,"8,8","0,07",35,210,20,1080,"0,27",21,1710,"0,25","10,1","68,8",0,"0,5","0,025","0,03","2,77","0,26","0,035","17,4","0,2"
"Sauce burger, préemballée","361,64","33,8","3,11",0,0,0,0,0,"20,5","13,3","10,3","0,48","1,06","2,13",19,0,0,0,0,0,30,"29,6",0,847,0,0,0,0,"1,5",0,0,0,"0,021","0,13",0,0,"0,053",0,0
"Sauce carbonara, préemballée","154,68","12,8","8,25",0,0,0,0,0,0,"4,7",1,"2,65","5,17","1,49",0,0,0,0,0,0,0,0,0,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sauce chasseur, préemballée","37,97","1,61",0,0,0,0,0,0,0,"4,66",0,"0,43","1,21","1,03","4,6",0,"0,17",0,"3,91",0,0,"78,2",0,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sauce chaude (aliment moyen),"105,81","7,45","2,86","1,92","0,91","0,066","0,0018","0,0038","12,8","7,03","3,83","1,68","2,66","1,17","44,2","0,074","0,53","14,9","19,1","0,089","37,2",316,"3,89",466,"0,37","24,9",229,"0,27","1,72",0,0,"6,08","0,087","0,091","0,84","0,21","0,09","16,6","0,14"
"Sauce crudités ou Sauce salade, allégée en matière grasse, préemballée","160,78","14,3","1,29","8,09","2,85","1,25","0,1","0,1","0,04","7,26","5,1","0,5","0,76","2,57","9,5",0,"0,5","0,7","3,2","0,34","10,1","13,8","0,5",1010,"0,34","0,088","0,21","0,1","7,39",0,0,"1,22","0,1","0,1",0,"0,1","0,1",0,0
"Sauce crudités ou Sauce salade, préemballée","302,74","30,9","3,22","16,3","4,62","3,31","0,01","0,01",0,"5,3","4,06","0,35","0,86","2,4",28,"0,01","0,19",20,"5,1","0,03",23,56,20,949,"0,12",21,"12,3","0,25","7,05","99,8",0,"0,5","0,022","0,012","0,1","0,16","0,13",5,0
Sauce froide (aliment moyen),"310,76","31,6","2,72","12,1","6,41","2,03","0,013","0,012","12,5","5,73","4,81","0,61","0,86","2,45","21,5","0,026","0,39","12,3",11,"0,074","23,2",119,"17,5",978,"0,12","8,8",227,"1,05","8,84","22,5",0,"2,83","0,031","0,029","0,4","0,15","0,041","9,45","0,16"
