ciqual_code,nom,Énergie_kcal_100g,Lipides_g_100g,AG_saturés_g_100g,Acide_oléique_W9_g_100g,Acide_linoléique_W6_LA_g_100g,Acide_alpha-linolénique_W3_ALA_g_100g,EPA_g_100g,DHA_g_100g,Cholestérol_mg_100g,Glucides_g_100g,Sucres_g_100g,Fibres_g_100g,Protéines_g_100g,Sel_g_100g,Calcium_mg_100g,Cuivre_mg_100g,Fer_mg_100g,Iode_µg_100g,Magnésium_mg_100g,Manganèse_mg_100g,Phosphore_mg_100g,Potassium_mg_100g,Sélénium_µg_100g,Sodium_mg_100g,Zinc_mg_100g,Rétinol_µg_100g,Beta-Carotène_µg_100g,Vitamine_D_µg_100g,Vitamine_E_mg_100g,Vitamine_K1_µg_100g,Vitamine_K2_µg_100g,Vitamine_C_mg_100g,Vitamine_B1_mg_100g,Vitamine_B2_mg_100g,Vitamine_B3_mg_100g,Vitamine_B5_mg_100g,Vitamine_B6_mg_100g,Vitamine_B9_µg_100g,Vitamine_B12_µg_100g,Eau_g_100g,Fructose_g_100g,Galactose_g_100g,Glucose_g_100g,Lactose_g_100g,Maltose_g_100g,Saccharose_g_100g,Amidon_g_100g,Polyols_g_100g,Alcool_g_100g
21505,"Agneau, épaule maigre crue",139.0,6.76,2.42,,,,0.0,0.0,66.0,0.0,0.0,0.0,19.6,0.18,15.0,0.11,1.66,,24.0,0.024,184.0,274.0,21.9,70.0,4.77,0.0,0.0,0.1,,3.4,,0.0,0.12,0.22,5.45,0.71,0.16,23.0,2.78,73.0,,,,,,,0.0,0.0,0.0
21507,"Agneau, épaule maigre rôtie/cuite au four",197.0,10.8,4.08,,,,0.0,0.0,87.0,0.0,0.0,0.0,24.9,0.17,19.0,0.11,2.13,5.0,25.0,0.026,200.0,265.0,6.0,68.0,6.04,0.0,0.0,0.1,,4.5,,0.0,0.09,0.26,5.76,0.73,0.15,25.0,2.7,63.3,,,,,,,0.0,0.0,0.0
21506,"Agneau, épaule rôtie/cuite au four",252.0,14.5,5.26,,,,,,99.8,0.0,0.0,0.0,30.5,0.24,8.8,0.2,2.2,8.6,25.4,0.1,231.0,376.0,5.0,95.5,4.7,7.5,0.0,0.5,,4.6,,6.9,0.064,0.3,7.2,0.3,0.21,24.2,2.72,53.7,,,,,,,0.0,0.0,0.0
21519,"Agneau, gigot braisé",222.0,9.03,3.46,2.6,0.45,0.067,,0.012,,0.0,0.0,0.0,35.2,,,,0.97,,,,,,13.6,,5.28,,,,0.15,,,,,,6.52,,0.16,18.0,1.88,55.2,,,,,,,0.0,0.0,0.0
21502,"Agneau, gigot cru",128.0,5.13,1.97,1.48,0.25,0.038,0.056,0.014,72.0,0.48,0.0,0.0,20.0,0.12,10.0,0.11,1.51,1.85,22.0,0.019,159.0,231.0,7.73,48.7,3.0,45.0,,0.4,,0.0,,0.0,0.12,0.23,6.52,0.7,0.26,18.0,2.17,74.5,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21518,"Agneau, gigot grillé/poêlé",174.0,7.08,2.63,1.98,0.34,0.051,,0.009,,0.0,0.0,0.0,27.6,,,,1.51,,,,,,10.7,,4.15,,,,0.16,,,,,,6.52,,0.23,22.0,1.88,64.8,,,,,,,0.0,0.0,0.0
21503,"Agneau, gigot rôti/cuit au four",169.0,6.85,2.63,1.98,0.34,0.051,0.0076,0.009,97.6,0.0,0.0,0.0,26.8,0.19,21.8,0.12,1.4,5.0,30.7,0.015,183.0,301.0,10.3,75.5,4.01,0.0,0.0,,,,,0.0,0.1,0.28,6.52,0.83,0.24,17.0,1.88,65.9,,,,,,,0.0,0.0,0.0
21515,"Agneau, selle crue",236.0,18.4,7.95,5.16,0.71,0.12,,,74.0,0.0,0.0,0.0,17.5,0.14,15.0,0.11,1.16,0.7,21.0,0.018,152.0,214.0,5.73,55.0,2.11,0.0,,0.4,,0.0,,0.0,0.11,0.21,5.41,0.63,0.22,17.0,1.73,63.8,,,,,,,0.0,0.0,0.0
21520,"Agneau, selle, partie maigre grillée/poêlée",153.0,5.45,2.05,1.52,0.29,0.039,,0.0081,,0.0,0.0,0.0,26.1,,,,1.28,,,,,,10.3,,3.67,,0.0,0.1,0.13,4.9,,,,,6.67,,0.29,1.0,1.53,68.3,,,,,,,0.0,0.0,0.0
21513,"Agneau, selle, partie maigre rôtie/cuite au four",153.0,5.45,2.01,1.49,0.28,0.039,0.0,0.008,91.0,0.0,0.0,0.0,26.1,0.16,18.0,0.12,1.21,,23.0,0.02,180.0,246.0,10.3,64.0,3.67,0.0,0.0,0.1,,4.7,,0.0,0.1,0.24,6.67,0.83,0.27,19.0,1.53,68.3,,,,,,,0.0,0.0,0.0
21523,"Agneau, viande, cuite (aliment moyen)",193.0,8.78,3.14,1.95,0.34,0.05,,0.0088,,0.0,0.0,0.0,28.5,,,,1.56,,,,,,9.2,,4.33,,,,,,,,,,6.63,,0.23,,2.0,62.1,,,,,,,0.0,0.0,0.0
11023,"Ail séché, poudre",346.0,0.73,0.25,0.11,0.17,0.0056,0.0,0.0,0.0,63.7,2.43,9.0,16.6,0.15,79.0,0.53,5.65,,77.0,0.98,414.0,1190.0,,60.0,2.99,0.0,0.0,0.0,,0.4,,1.2,0.44,0.14,0.8,0.74,1.65,,0.0,6.45,0.31,0.0,0.07,0.0,0.0,2.05,,0.0,0.0
11000,"Ail, cru",109.0,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.0,18.6,1.2,5.8,5.31,0.023,11.0,0.19,0.63,20.0,20.0,0.2,130.0,530.0,20.0,9.0,0.75,0.0,5.0,0.25,,0.8,,0.5,0.2,0.01,0.1,0.36,1.1,,0.0,67.8,0.3,,0.2,0.2,0.2,0.7,0.35,0.5,0.0
11307,"Ail, grillé/poêlé, sans matière grasse",130.0,0.4,0.2,0.04,0.1,0.01,0.01,0.01,0.0,22.0,1.0,5.8,6.0,0.013,12.0,0.17,0.77,20.0,22.0,0.23,150.0,580.0,20.0,5.0,0.96,0.0,5.6,,,0.8,,4.09,0.14,0.032,0.75,0.3,0.94,,,63.5,0.4,0.2,0.2,0.2,0.2,0.6,0.35,0.5,0.0
11306,"Ail, rôti/cuit au four",125.0,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.0,23.8,1.4,2.7,5.56,0.013,11.0,0.18,0.64,20.0,21.0,0.22,140.0,490.0,20.0,5.0,0.73,0.0,5.0,0.25,,0.8,,0.5,0.16,0.043,0.1,0.34,1.37,,,65.4,0.2,,0.2,0.2,0.2,1.2,0.35,0.5,0.0
5219,"Alcool fort (type rhum), cuisiné (alcool évaporé)",0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00049,0.0,0.0,0.0,0.0039,0.0,0.093,0.13,1.58,0.0,0.028,7.1,3.15,,1.58,0.068,0.0,0.0,0.0,0.0,0.0,,0.0,0.011,0.0063,0.021,0.0,0.0016,0.0,0.0,100.0,,,,,,,0.0,0.0,0.0
1014,Alcool pur,660.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,0.0,0.0,94.3
4041,"Aligot (purée de pomme de terre à la tomme fraîche), préemballé",195.0,13.3,8.25,2.67,0.21,0.11,0.01,0.01,,9.5,0.57,1.3,8.06,1.0,,,,,,,,,,398.0,,,,,,,,,,,,,,,,65.1,0.1,0.18,0.1,0.21,0.1,0.18,,0.0,0.0
15000,"Amande, avec peau, sans sel ajouté",615.0,51.3,4.11,33.3,10.5,0.01,0.01,0.01,0.0,9.51,4.2,12.5,18.8,0.013,260.0,0.96,3.4,20.0,270.0,1.9,510.0,800.0,20.0,5.0,3.5,0.0,7.33,0.25,25.63,0.8,,0.5,0.15,0.29,1.97,0.62,0.07,,0.0,4.8,0.2,0.2,0.2,0.2,0.2,4.0,0.35,,0.0
15041,"Amande, émondée, sans sel ajouté",631.0,52.5,3.95,33.11,,,0.0,0.0,0.0,8.76,4.63,9.9,21.4,0.048,236.0,1.03,3.28,,268.0,1.84,481.0,659.0,,19.0,2.97,0.0,4.0,0.0,23.75,0.0,,0.0,0.19,0.71,3.5,0.31,0.12,,0.0,4.51,0.0,0.0,0.03,0.0,0.14,4.46,1.0,,0.0
15042,"Amande, grillée, salée",647.0,53.9,5.68,32.7,12.9,0.006,0.0,0.0,0.0,12.2,3.94,8.46,20.0,0.95,268.0,1.1,3.73,,279.0,2.23,471.0,713.0,,380.0,3.31,0.0,1.0,0.0,23.9,0.0,,0.0,0.077,1.2,3.64,0.32,0.14,,0.0,2.41,0.0081,0.0,0.0081,0.0,0.073,3.85,0.73,,0.0
15062,"Amande, grillée, salée, goût fumé",629.0,54.0,4.31,32.75,,,0.0,0.0,0.0,9.01,4.56,8.25,18.6,1.23,,,,,,,,,,480.0,,0.0,,,23.9,,,,,,,,,,,,,,,,,,,,0.0
9345,"Amarante, crue",369.0,7.02,1.46,1.43,2.74,0.041,0.0,0.0,0.0,58.6,1.68,6.7,13.5,0.01,159.0,0.53,7.61,,248.0,3.33,557.0,508.0,,4.0,2.87,0.0,1.0,0.0,,0.0,0.0,4.2,0.12,0.2,0.92,1.46,0.59,,0.0,11.3,0.0099,0.0,0.27,0.0,0.0099,1.39,56.9,0.0,0.0
9510,Amidon de maïs ou fécule de maïs,365.0,0.05,0.009,,0.0,,0.0,0.0,0.0,90.4,0.0,0.9,0.26,0.023,2.0,0.05,0.47,0.6,3.0,0.053,13.0,3.0,2.8,9.0,0.06,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,8.32,0.0,,0.0,0.0,0.0,0.0,87.0,0.0,0.0
96781,Amidon de riz,343.0,0.0,,,,,0.0,0.0,0.0,85.0,,0.0,0.6,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,14.2,,,,,,,,0.0,0.0
13716,"Ananas au jus d'ananas, appertisé, égoutté",56.0,0.5,,,,,0.0,0.0,0.0,12.9,12.8,1.4,0.25,0.0025,11.0,0.04,0.19,20.0,12.0,1.2,7.8,130.0,20.0,1.0,0.11,0.0,24.2,0.0,0.02,0.8,,4.99,0.063,0.01,2.2,0.067,0.076,5.0,0.0,84.5,3.97,,4.07,0.2,0.2,4.76,,,0.0
